"","source","purp","origPlace","count","dist"
"1","model","business",1,26,705.783061923077
"2","model","business",2,9,799.720232777778
"3","model","business",3,5.5,1080.96654181818
"4","model","business",4,146,815.269517191781
"5","model","business",5,48.5,610.691969690722
"6","model","business",6,11.5,745.498087391304
"7","model","business",7,86.5,588.110379768786
"8","model","business",8,2,880.976215
"9","model","business",9,5.5,1089.97876545455
"10","model","business",10,7,689.471935714286
"11","model","business",11,27,699.416183518519
"12","model","business",12,1.5,659.888313333333
"13","model","business",13,23.5,741.405522978723
"14","model","business",14,3,720.108333333333
"15","model","business",15,19.5,785.354142051282
"16","model","business",16,12.5,943.889176
"17","model","business",17,5,906.75726
"18","model","business",18,91.5,682.335562349727
"19","model","business",19,60.5,740.636888016529
"20","model","business",20,297,714.464346060606
"21","model","business",21,616.5,645.596469878345
"22","model","business",22,494,697.926819645749
"23","model","business",23,5,778.012685
"24","model","business",24,14.5,672.947547586207
"25","model","business",25,34.5,481.864925797101
"26","model","business",26,99.5,649.11410241206
"27","model","business",27,215.5,605.310742784223
"28","model","business",28,147,581.860042482993
"29","model","business",29,432.5,585.857123653179
"30","model","business",30,564,532.681941657801
"31","model","business",31,24.5,585.376231836735
"32","model","business",32,12,910.006183333333
"33","model","business",33,59,603.611301271186
"34","model","business",35,110,585.1728965
"35","model","business",36,294,653.320104812925
"36","model","business",37,14,674.881276785714
"37","model","business",38,52,593.280119230769
"38","model","business",39,83.5,596.94166245509
"39","model","business",40,24.5,632.948235918367
"40","model","business",41,54.5,680.796868073395
"41","model","business",42,154.5,521.222111618123
"42","model","business",43,1182,435.373043066836
"43","model","business",44,187,432.360105534759
"44","model","business",45,256.5,524.8962682846
"45","model","business",46,19,555.129966578947
"46","model","business",47,352,647.016851889205
"47","model","business",48,20.5,467.825175365854
"48","model","business",49,14,780.829892857143
"49","model","business",50,7.5,793.701018666667
"50","model","business",51,12,639.492772083333
"51","model","business",52,34.5,947.619080289855
"52","model","business",53,26.5,882.738132830189
"53","model","business",54,1,512.187
"54","model","business",56,4,716.5563875
"55","model","business",58,1,592.1329
"56","model","business",65,3.5,819.773574285714
"57","model","leisure",1,101,734.893131584158
"58","model","leisure",2,25,782.1495614
"59","model","leisure",3,28.5,745.502155438596
"60","model","leisure",4,719.5,721.41043266852
"61","model","leisure",5,159,628.260333742138
"62","model","leisure",6,44,720.218612272727
"63","model","leisure",7,314.5,670.310280747218
"64","model","leisure",8,6,654.514479166667
"65","model","leisure",9,29,671.60539862069
"66","model","leisure",10,22,503.168108181818
"67","model","leisure",11,133,685.893565300752
"68","model","leisure",12,31,685.135951774194
"69","model","leisure",13,76,623.470769144737
"70","model","leisure",14,7,695.6493
"71","model","leisure",15,96,701.670683697917
"72","model","leisure",16,28,722.822486964286
"73","model","leisure",17,23,720.013324347826
"74","model","leisure",18,402.5,685.281825875776
"75","model","leisure",19,308,692.883599237013
"76","model","leisure",20,1428,649.259270007003
"77","model","leisure",21,3059.5,694.861267589475
"78","model","leisure",22,2403.5,621.68959423549
"79","model","leisure",23,24.5,608.011353673469
"80","model","leisure",24,57,607.075506929825
"81","model","leisure",25,99,588.598652323232
